unique content images to fetch: 764
  30/764 (ok 25, fail 0)
  55/764 (ok 50, fail 0)
  85/764 (ok 75, fail 5)
  109/764 (ok 100, fail 5)
  135/764 (ok 125, fail 5)
  160/764 (ok 150, fail 5)
  183/764 (ok 175, fail 5)
  210/764 (ok 200, fail 5)
  236/764 (ok 225, fail 6)
  260/764 (ok 250, fail 6)
  286/764 (ok 275, fail 6)
  311/764 (ok 300, fail 6)
  335/764 (ok 325, fail 6)
  361/764 (ok 350, fail 6)
  385/764 (ok 375, fail 6)
  411/764 (ok 400, fail 6)
  436/764 (ok 425, fail 6)
  461/764 (ok 450, fail 6)
  485/764 (ok 475, fail 6)
  510/764 (ok 500, fail 6)
  535/764 (ok 525, fail 6)
  561/764 (ok 550, fail 6)
  586/764 (ok 575, fail 6)
  611/764 (ok 600, fail 6)
  635/764 (ok 625, fail 6)
  660/764 (ok 650, fail 6)
  685/764 (ok 675, fail 6)
  711/764 (ok 700, fail 6)
  736/764 (ok 725, fail 6)
  761/764 (ok 750, fail 6)
DONE. mapped 758 images (ok 758, skipped 0, failed 6). Manifest: migration/image-map.json
