Country,Clicks,Impressions,CTR,Position
United States,1878,361554,0.52%,11.01
Canada,106,20398,0.52%,5.93
United Kingdom,25,5677,0.44%,8.3
Mexico,11,2901,0.38%,4.68
Australia,11,2028,0.54%,14.68
Philippines,6,1349,0.44%,8.4
Netherlands,6,611,0.98%,7.06
Ireland,5,439,1.14%,11.64
Nigeria,5,334,1.5%,6.4
India,4,3818,0.1%,10.79
Spain,4,838,0.48%,8.57
Puerto Rico,4,552,0.72%,3.11
Pakistan,3,597,0.5%,12.01
Russia,3,512,0.59%,17.97
Singapore,3,444,0.68%,5.86
New Zealand,3,417,0.72%,9.52
Brazil,2,3270,0.06%,13.21
Indonesia,2,1060,0.19%,9.71
Germany,2,961,0.21%,8.35
France,2,951,0.21%,7.6
Poland,2,446,0.45%,6.97
Chile,2,407,0.49%,6.37
Sweden,2,185,1.08%,7.16
Denmark,2,111,1.8%,8.96
Austria,2,82,2.44%,7.67
South Korea,1,642,0.16%,9.98
South Africa,1,492,0.2%,10.95
Saudi Arabia,1,335,0.3%,10.88
United Arab Emirates,1,283,0.35%,7.37
Romania,1,220,0.45%,8.16
Belgium,1,196,0.51%,5.21
Kenya,1,171,0.58%,12.64
Trinidad & Tobago,1,162,0.62%,7.32
Switzerland,1,160,0.62%,5.88
Jamaica,1,141,0.71%,7.56
Panama,1,124,0.81%,5.73
Jordan,1,113,0.88%,10.48
Bulgaria,1,108,0.93%,9.24
Costa Rica,1,101,0.99%,7.98
Nepal,1,85,1.18%,7.51
Honduras,1,75,1.33%,5.93
Estonia,1,62,1.61%,8.4
Latvia,1,43,2.33%,13.98
Armenia,1,39,2.56%,7.18
Vietnam,0,946,0%,14.37
Italy,0,726,0%,17.46
Turkey,0,654,0%,13.02
Argentina,0,635,0%,10.57
Malaysia,0,575,0%,9.25
Colombia,0,525,0%,8.44
Bangladesh,0,476,0%,9.51
Thailand,0,381,0%,10.12
Ukraine,0,380,0%,9.02
China,0,371,0%,6
Japan,0,367,0%,10.46
Ecuador,0,361,0%,10.9
Peru,0,255,0%,9.83
Hong Kong,0,244,0%,6.52
Portugal,0,240,0%,7.6
Taiwan,0,230,0%,9.16
Algeria,0,217,0%,10.76
Dominican Republic,0,210,0%,9.08
Egypt,0,206,0%,15.86
Greece,0,193,0%,5.9
Israel,0,193,0%,9.13
Morocco,0,183,0%,11.89
Iran,0,171,0%,7.66
Iraq,0,167,0%,14.04
Venezuela,0,160,0%,11.05
Czechia,0,121,0%,8.65
Norway,0,117,0%,7.3
Serbia,0,111,0%,10.14
Hungary,0,98,0%,7.65
Kazakhstan,0,84,0%,9.73
Belarus,0,83,0%,10.3
Bahamas,0,82,0%,6.84
Finland,0,81,0%,6.89
Ethiopia,0,80,0%,10.21
Uruguay,0,78,0%,11.54
Paraguay,0,76,0%,12.88
Albania,0,75,0%,7.09
Ghana,0,74,0%,5.99
Sri Lanka,0,74,0%,10.09
Oman,0,70,0%,12.3
Guatemala,0,67,0%,6.94
Qatar,0,66,0%,5.15
Tunisia,0,66,0%,11.83
Lithuania,0,60,0%,14.37
Moldova,0,57,0%,13.79
Georgia,0,56,0%,9.39
Azerbaijan,0,56,0%,11.41
Lebanon,0,53,0%,8.91
Barbados,0,52,0%,8.77
Slovakia,0,50,0%,7.28
Bolivia,0,50,0%,8.34
Cambodia,0,48,0%,6.04
El Salvador,0,47,0%,4.79
Palestine,0,47,0%,7.34
Croatia,0,45,0%,7.29
Uganda,0,42,0%,4.55
Bosnia & Herzegovina,0,42,0%,8.45
Malta,0,40,0%,4.33
Uzbekistan,0,39,0%,14.9
Cyprus,0,38,0%,8.39
Kosovo,0,38,0%,8.87
